method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
GroupDRO,22,g1,294,38946,0.77551,0.7476,0.54152,0.37567,0.16584
GroupDRO,22,g2,123,38946,0.93496,0.48315,0.29785,0.07576,0.22209
GroupDRO,22,g3,200,38946,0.755,0.46019,0.53977,0.42112,0.11865
GroupDRO,33,g0,303,38946,0.76898,0.76457,0.51622,0.38184,0.13437
GroupDRO,33,g1,294,38946,0.78571,0.75167,0.52758,0.37567,0.1519
GroupDRO,33,g2,123,38946,0.93496,0.48315,0.27077,0.07576,0.19501
GroupDRO,33,g3,200,38946,0.735,0.45518,0.59098,0.42112,0.16986
GroupDRO,44,g0,303,38946,0.74917,0.74383,0.52945,0.38184,0.14761
GroupDRO,44,g1,294,38946,0.77211,0.73437,0.58079,0.37567,0.20511
GroupDRO,44,g2,123,38946,0.93496,0.48315,0.31439,0.07576,0.23863
GroupDRO,44,g3,200,38946,0.745,0.48955,0.57299,0.42112,0.15187
GroupDRO,55,g0,303,38946,0.77558,0.77274,0.49619,0.38184,0.11435
GroupDRO,55,g1,294,38946,0.77891,0.74218,0.54078,0.37567,0.1651
GroupDRO,55,g2,123,38946,0.93496,0.48315,0.27093,0.07576,0.19517
GroupDRO,55,g3,200,38946,0.755,0.51658,0.54074,0.42112,0.11962
RegretDRO,42,g0,303,38946,0.78548,0.78146,0.52645,0.38184,0.14461
RegretDRO,42,g1,294,38946,0.78231,0.74279,0.55534,0.37567,0.17967
RegretDRO,42,g2,123,38946,0.93496,0.48315,0.26058,0.07576,0.18482
RegretDRO,42,g3,200,38946,0.76,0.49213,0.54251,0.42112,0.12139
RegretDRO,1337,g0,303,38946,0.76568,0.76262,0.53055,0.38184,0.14871
RegretDRO,1337,g1,294,38946,0.70408,0.59323,0.60132,0.37567,0.22564
RegretDRO,1337,g2,123,38946,0.93496,0.48315,0.37649,0.07576,0.30073
RegretDRO,1337,g3,200,38946,0.745,0.42692,0.57882,0.42112,0.1577
RegretDRO,7,g0,303,38946,0.76898,0.76372,0.50439,0.38184,0.12254
RegretDRO,7,g1,294,38946,0.77891,0.74171,0.51591,0.37567,0.14024
RegretDRO,7,g2,123,38946,0.93496,0.48315,0.31025,0.07576,0.23448
RegretDRO,7,g3,200,38946,0.725,0.46929,0.62029,0.42112,0.19917
RegretDRO,2024,g0,303,38946,0.79868,0.79249,0.51145,0.38184,0.12961
RegretDRO,2024,g1,294,38946,0.78912,0.74602,0.51909,0.37567,0.14342
RegretDRO,2024,g2,123,38946,0.9187,0.47872,0.28519,0.07576,0.20943
RegretDRO,2024,g3,200,38946,0.74,0.44911,0.55439,0.42112,0.13327
RegretDRO,31337,g0,303,38946,0.76898,0.76407,0.47808,0.38184,0.09624
RegretDRO,31337,g1,294,38946,0.7551,0.71302,0.5236,0.37567,0.14792
RegretDRO,31337,g2,123,38946,0.93496,0.48315,0.32892,0.07576,0.25316
RegretDRO,31337,g3,200,38946,0.76,0.50063,0.5587,0.42112,0.13758
RegretDRO,11,g0,303,38946,0.77558,0.77214,0.54353,0.38184,0.16169
RegretDRO,11,g1,294,38946,0.78571,0.7427,0.56084,0.37567,0.18516
