method,seed,group,auroc,accuracy
Imputation_Anchors_GDRO,11,g0,0.7705223880597015,0.8161350844277674
Imputation_Anchors_GDRO,11,g1,0.47066967287686406,0.8962264150943396
Imputation_Anchors_GDRO,11,g2,0.672672084404316,0.806672369546621
Imputation_Anchors_GDRO,42,g0,0.7865804904051172,0.6885553470919324
Imputation_Anchors_GDRO,42,g1,0.5864483208733833,0.8660377358490566
Imputation_Anchors_GDRO,42,g2,0.7025013010089497,0.7698887938408896
Imputation_Anchors_GDRO,2024,g0,0.775469749466951,0.7279549718574109
Imputation_Anchors_GDRO,2024,g1,0.5921838534868084,0.8566037735849057
Imputation_Anchors_GDRO,2024,g2,0.7024003862463072,0.7976903336184773
Imputation_Anchors_GDRO,44,g0,0.783232276119403,0.726078799249531
Imputation_Anchors_GDRO,44,g1,0.5704679403504609,0.8113207547169812
Imputation_Anchors_GDRO,44,g2,0.7099086424589959,0.7938408896492729
Imputation_Anchors_GDRO,1337,g0,0.7747867803837953,0.7579737335834896
Imputation_Anchors_GDRO,1337,g1,0.5508089078754795,0.8811320754716981
Imputation_Anchors_GDRO,1337,g2,0.6987160080494363,0.7694610778443114
Imputation_Anchors_GDRO,7,g0,0.7824327025586354,0.7185741088180112
Imputation_Anchors_GDRO,7,g1,0.6039713618923302,0.8433962264150944
Imputation_Anchors_GDRO,7,g2,0.7132319041032734,0.8023952095808383
Imputation_Anchors_GDRO,31337,g0,0.7788346215351811,0.6885553470919324
Imputation_Anchors_GDRO,31337,g1,0.6121197737431273,0.8226415094339623
Imputation_Anchors_GDRO,31337,g2,0.70969197252744,0.7544910179640718
Imputation_Anchors_GDRO,55,g0,0.7818496801705757,0.7204502814258912
Imputation_Anchors_GDRO,55,g1,0.5753728096198726,0.8377358490566038
Imputation_Anchors_GDRO,55,g2,0.7039813841943737,0.7771599657827203
Imputation_Anchors_GDRO,22,g0,0.7608941897654585,0.726078799249531
Imputation_Anchors_GDRO,22,g1,0.6011233732842847,0.8433962264150944
Imputation_Anchors_GDRO,22,g2,0.7115262467425308,0.7912745936698032
Reweigh,42,g0,0.7486673773987207,0.7185741088180112
Reweigh,42,g1,0.6235512835726434,0.779245283018868
Reweigh,42,g2,0.7018938337122583,0.7031650983746792
Reweigh,1337,g0,0.7426705756929637,0.7279549718574109
Reweigh,1337,g1,0.5919069657054705,0.7509433962264151
Reweigh,1337,g2,0.6994382411546232,0.7356715141146278
Reweigh,7,g0,0.7846148720682303,0.6941838649155723
Reweigh,7,g1,0.5805545666706222,0.8301886792452831
Reweigh,7,g2,0.7027288539051045,0.7467921300256629
Reweigh,2024,g0,0.7760527718550106,0.6829268292682927
Reweigh,2024,g1,0.6207428503619319,0.7811320754716982
Reweigh,2024,g2,0.7040981287237053,0.7485029940119761
Reweigh,31337,g0,0.7700226545842217,0.7298311444652908
Reweigh,31337,g1,0.6224041770499584,0.7943396226415095
Reweigh,31337,g2,0.7062786790851187,0.7416595380667237
Reweigh,11,g0,0.7721215351812366,0.7279549718574109
Reweigh,11,g1,0.5930540722281555,0.809433962264151
Reweigh,11,g2,0.7073768691491698,0.7681779298545766
Reweigh,22,g0,0.7921441897654584,0.7410881801125704
Reweigh,22,g1,0.518571259048297,0.8811320754716981
Reweigh,22,g2,0.70265959867584,0.757912745936698
Reweigh,33,g0,0.777352078891258,0.7429643527204502
Reweigh,33,g1,0.5305565444404889,0.7924528301886793
Reweigh,33,g2,0.6978196475106703,0.7416595380667237
Reweigh,44,g0,0.7674906716417911,0.7560975609756098
Reweigh,44,g1,0.5450733752620546,0.690566037735849
Reweigh,44,g2,0.6981580087736481,0.7386655260906758
Reweigh,55,g0,0.7480676972281449,0.724202626641651
Reweigh,55,g1,0.6080060124203948,0.7679245283018868
Reweigh,55,g2,0.7088510161720853,0.7356715141146278
FlexMoE,42,g0,0.7758195628997867,0.8630393996247655
FlexMoE,42,g1,0.5453502630433923,0.9
FlexMoE,42,g2,0.5682015604192514,0.8969204448246364
FlexMoE,1337,g0,0.7094216417910447,0.8799249530956847
FlexMoE,1337,g1,0.4791740833036668,0.9
FlexMoE,1337,g2,0.6080628916630555,0.8969204448246364
FlexMoE,7,g0,0.7465684968017058,0.6754221388367729
